Name,Department,Rating,Difficulty,Would Take Again %,Total Ratings,Courses Taught,Review 1,Review 2,Review 3
"Michele Montecalvo","Public Health",3.6,2.6,50,8,"PHE241","Q:1/D:5/G:Not sure yet — This professor is not accessible and on top that there is a massive 50+ page paper at the end of the semester and she is very passive aggressive","Q:3/D:3/G:Not sure yet — The professor is not bad, however if you're taking the class online it's hard to communicate with her because her office hours are only on Sunday. Personally had a hard time speaking with her during office hours. Small paper due every week but she guides you through them","Q:5/D:2/G:A — The professor is always willing to help out! She is very caring, and she is very attentive when it comes to grading work. She provides good feedback, informative lectures, and clear instructions. She hosts zoom meetings once or twice a week to answer students' questions or for virtual check-ins. The"
"Emily Van Buskirk","Russian",4,2.4,85.7143,7,"RUS349|RUS860|RUSS348","Q:4/D:4/G:B — While Prof. Van Buskirk definitely provided the most challenging course of my Fall semester, she also provided a deep insight into the topic. I adored coming to class to hear what she had to say, despite just how difficult the workload was. All you need is to make sure you don't miss a class, and re","Q:4/D:1/G:A — The choice of reading and films is impressive. I would never have known about those movies and articles without the course. The professor does a good job introducing the material! I recommend this class!","Q:5/D:2/G:A — I've taken a bunch of classes with her and she's really such a sweet person. She allows great open discussions and picks pretty interesting course material.  You just have to come to class having done the reading, participate in class a bit, and you'll do great. Definitely recommend taking a class w"
"Katie Barillas","Engineering",3.2,2.6,60,5,"IDE102","Q:1/D:4/G:Not sure yet — I'll just be completely straightforward, she's just a recitation teacher taking her job way too seriously. Calling people out for no reason after they present and saying &#8220;don't mean to call you out&#8221; like that fixes anything. Giving UNREASONABLY low grades for no reason, too. Avoid this l","Q:5/D:1/G:Not sure yet — She is very kind and caring. The attendance is very important to her but her class is very fun and she tries to go over questions in a simpler way and if you ever felt confused go to office hours she is really helpful. The grading might be tough and fair at the same time.","Q:5/D:3/G:Incomplete — Dr. B is extremely kind and easy to approach. I actually looked forward to coming to her recitation and really enjoyed the way she taught. She really puts effort into getting to know her students and is extremely passionate. Even if you are struggling, she will help you and is a really great profess"
"James Nichnadowicz","Agriculture",0,0,-1,0,"","","",""
"Marc Pfeiffer","Planning & Public Policy",0,0,-1,0,"","","",""
"Emily First","Computer Science",0,0,-1,0,"","","",""
"Susan Skelly","Microbiology",3,4,47.2222,50,"192131|BIO131|MICRO131|MICROBIO|MICROBIO131|MICROHEALTHSCI","Q:1/D:5/G:Drop/Withdrawal — Worst professor I've had in my life. Doesn't care for her students' wellbeing no matter how much they try to improve. I spent hours each week studying and still got a 66. When I emailed her asking for advice she responded with zero compassion, zero advice. I have never in my life seen a professor th","Q:5/D:4/G:B+ — Very lecture-heavy and is based entirely off the textbook. This professor does an excellent job in explaining the material for students in a concise manner, and gives students the opportunity for extra credit in every exam. She also provides additional notes, ppts, and lecture points to help student","Q:1/D:5/G:Drop/Withdrawal — Very textbook-heavy. Lectures aren't very helpful since exams are almost entirely based on the textbook. There's no curve, and the class only has four exams worth 25% each, including open-ended questions and drawing diagrams. If you don't have a religion, find one and pray."
"Vishnya Maudlin","Philosophy",2.8,3.8,50,37,"103|ASDADADAS|HONORSINTRO|HONORSINTROPHIL|HONORSPHIL103|HONOSPHILOSOPH|INTROTOPHIL|INTROTOPHILOS|LOGIC|PHI225|PHIL|PHIL101|PHIL101H|PHIL225|PHIL261|PHILOFSCI|PHILOOFSCI|PHILOSCIFI|PHILOSOPHY|PHILOSPOHY|PHILSCIFI|PHILSF|PHISCIFI|PHSCI1|PHSF1|PHY101","Q:1/D:5/G:Drop/Withdrawal — Take a different professor for Logic. Final is worth 40%. No partial credit on exams. Tedious, long homework that takes forever to do.","Q:5/D:3/G:A — Took her logic class last year. Super caring professor -- really wants you to succeed. Her lectures admittedly could have been better, but she was very helpful during office hours. Also great professor to chat with about anything.","Q:5/D:3/G:A — Took her logic course in my first semester as a freshman in NYU. was super nervous because I am not too great at maths but honestly logic imo was much more fun than I anticipated it to be. Kind, funny, and is very straightforward. All I did was go to most of her lectures and do her HW, as I was aske"
"Amelie Marian","Computer Science",2.9,3.8,43.4783,33,"CS142|CS210|CS336|CS437|CS445|CS539|CS541|DATA101|STAT142","Q:1/D:5/G:Not sure yet — Misleadingly labeled beginner-friendly. Quizzes focused on pitfalls instead of fundamentals, forcing self-teaching just to keep up. Exams were unnecessarily difficult. Incorrect regrade policy info discouraged challenges. No curve despite many struggling in this class. This course reflects a complet","Q:2/D:3/G:A — Oh my god. Terrible exam averages for an intro to python course and still thinks exams are easy. Provided 11% EC purely because of how many struggled, not because she believed the course was harder than previous sems. Projects are okay, can take 2-6 hours. 2 Midterms (12.5% each) hard, Final (20%) n","Q:5/D:3/G:A — Took her for Algorithms In Society in 2023. She invented the class and has many personal stories regarding her passion for the subject. Very knowledgeable. Kind of runs the class like her own personal psychology experiment. Unique projects. Surveys after each project and runs an 'algorithm' to group"
"Solomon Guhl-Miller","Music",2,3.3,22.2222,24,"INTROTOMUSIC131|MH247|MUS102|MUSIC101|MUSICHISTORY","Q:1/D:3/G:A — Class is definitely harder than it should be for an introductory music course. Professor doesn't grade all assignments until the end of the semester, and never gives out full points for them. All writing assignments based on musical pieces have to be supported by timings, which was time-consuming. W","Q:1/D:4/G:B+ — I took this class for credit and did not expect to be spending more time on it than the classes i took for my major. The kind of work that was expected was not introductory at all. It was the worst class i took last semester. Would not recommend if you want an easy A.","Q:1/D:4/G:Not sure yet — I don't mind doing the assignments for the class, but the fact that he doesn't reply to emails says a lot about the class itself. I tried emailing him questions about what I had to do for a class and he never looks at them- sometimes I'd email him 3 or 4 times and he still wouldn't reply."
"Paul Ellis","Mathematics",3.2,3.3,55,20,"CALC135|CALC151|CALCULUS|MATH026","Q:1/D:3/G:B — He can come off as very passive agressive. He lets you retake quizzes till you get an 100 which is nice but his sense of humor just comes off as rude.","Q:5/D:1/G:A — I had him for intermediate algebra and I loved this class so much. He allows you to retake assignments and quizzes until you get a 100 and will sit down with you if you're struggling with assignments. He's really funny *if* you understand his humor. I really loved his explanations of the concepts, y","Q:2/D:2/G:Not sure yet — Had him for Intermediate Algebra..hes hella weird. Tries too hard to be funny and loves humiliating students in front of the class."
"Satomi Li","Japanese",5,1.9,100,14,"JAN101|JAP102|JAPANESE101|JAPANESE102|JP101|JP102|JP201|JP202|JPN102","Q:5/D:2/G:A — Really nice professor! Not too strict of a grader. You can make many mistakes and still do fine on the tests. The class is very interactive and you get a lot of opportunities to speak, so you can make the class worthwhile if you want it to be. I definitely recommend her. Only thing to note is you wi","Q:5/D:1/G:A — wonderful professor, literally.","Q:5/D:2/G:A+ — She is an amazing professor and she is always so nice and helpful! I would absolutely recommend her if you're interested in taking Japanese. She teaches very clearly and does her best to keep the material fresh and help her students"
"Jay Fisher","Classics",3.5,1.3,62.5,8,"MYTHOLOGY207","Q:3/D:1/G:A — Chill guy--his insights into mythology and connecting them with different concepts are so interesting! He's a bit intense, though, but he's hilarious. Get ready to listen to rock music before class. A lot.","Q:5/D:1/G:A — Look, this class was funny and interesting. If you care and pay attention, you absolutely will learn about mythology. If you don't, you will still do very well in the class. he doesn't care about grades, he just wants you to learn. very easy class, no stress. fun guy!","Q:5/D:2/G:A — Amazing and funny prof. He really cares about making sure his students learn and get something out of class. Really thoughtful to students and drops lowest quiz grade. You can do pretty alright in the class just by going to lecture and skimming the reading."
"Maya Mikdashi","Middle Eastern Studies",5,3.5,100,6,"IME100|MIDEAST100","Q:5/D:3/G:A — Amazing professor with thoughtful lectures and engaging discussion. Reading-heavy but manageable. Clear expectations, fair grading, and extra credit opportunities. Course included a midterm, final, and annotated bibliography. Extremely knowledgeable about the Middle East, kind, and great with studen","Q:5/D:4/G:A — Prof. Mikdashi was so knowledgeable about the topics she taught. She genuinely inspired me. Her class was extremely heavy in reading (20-100 pages/week), but she was such a good lecturer and SO kind. I'd recommend her to anyone who's interested-- if you attend class, you'll get the knowledge you sig","Q:5/D:4/G:N/A — Emotions/feelings on the ME tend to be high in classes like these esp. with regard to conflicts such as Israel/Palestine and Iraq/Kurdistan. While my peers visibly got tense when it came time to discuss these topic, Prof Mikdashi did an incredible job at making sure everyone got a chance to offer th"
"Joseph Guadagni","Mathematics",3.8,4,71.9424,139,"CAL135|CALC1135|CALC135|CALC151|CALC152|CALC251|CALCULUS135|MAT135|MAT152|MATH135|MATH151|MATH152|MATH152H|MATH250|MATH251|PRECALC111","Q:2/D:5/G:N/A — he's smart and is passionate about math but i don't think he's the teacher for everyone. a lot of lectures only focus on select/specific problems in a lesson and in recitation you endup coming across something you weren't even taught. lectures are useful but not helpful. i don't even know if he want","Q:5/D:4/G:B — Great calc professor, can come forward as aggressive but means well by it. Gives good feedback and teaches in a way that makes sense. Overall, okay class.","Q:3/D:4/G:B+ — He tries to be blunt but is just rude. Good teacher, lectures are great, but not required, however, I highly recommend going. Lots of online homework. Exams are brutal. During lecture, he will walk around and comment harshly on student work, whether or not they ask. One needs to develop thick skin. "
"Patrick Rojas","Statistics",2.3,3.2,47.8261,86,"2COURSES|CALC135|COMPUTGRAP486|EXPDESIGN|MATH135|REGRESSIONMETH|STA590|STAT211|STAT285|STAT401|STAT490|STAT555|STAT590|STATS490","Q:1/D:5/G:F — GG's bro, very raspy , can't understand him!!!!!!!!!","Q:1/D:5/G:F — Put the fries in the bag, Joe Biden teaching, he needs a Subaru legacy","Q:1/D:3/G:Audit/No Grade — Why this guy a professor bro, get this guy fired."
"Dov Kruger","Engineering",1.6,2.7,16.25,82,"DLD231","Q:1/D:1/G:A — inspired me to drop out of engineering","Q:5/D:1/G:A+ — GOATED professor. I think the reviews are overembellished. I don't know if it matters, but I am not south asian.","Q:1/D:4/G:A+ — if u want to learn SKIP LECTURE if u hate being efficient go to lecture  Kruger has no reason to be here"
"Ravi Ramaswamy","Statistics",2.5,3.2,35.9375,64,"STAT211|STAT285|STAT291|STAT401|STAT960|STATS1|STATS401|STATS463|STATSRSRCH401","Q:1/D:4/G:Drop/Withdrawal — I thought the class would be easy but it was not. The first exam average was a 58%","Q:1/D:4/G:B+ — Professor was unnecessarily rude in correspondence and grading was extremely harsh. You could get the whole question right and plug the final answer wrong in your calculator and he would take at least half the points off. The homework problem solutions often did not match how he expected us to answe","Q:2/D:4/G:B+ — Like others said, lectures are taught like we understand the first time he explains it. Said tests were similar to hw problems but it's really not. The grading is SO strict. If you miss one part of a question, half your points are deducted. He cares a lot about students and wants feedback to do bett"
"Debbie Borie-Holtz","Writing",3.3,3.1,27.7778,40,"201|ENG301|EXP201|EXPOS101|EXPOS201|POLIC305|PUBPO1|RES395|RM395|RSCHD201|RSRCH201|RSRCHMETH|RSRCHMTHDS380|WRITI101|WRT101","Q:5/D:3/G:A+ — if you attend the lectures/labs and do all the work you're guaranteed to do well in the class","Q:4/D:3/G:A — Overall, a really passionate professor would take another class with her. However, the class formatting is a bit confusing. Additionally, I feel like for some things, the TA and professor were not on the same page, making classes a bit confusing at times. But over time, everything will make more sen","Q:1/D:4/G:Incomplete — This professor is one of the worst i've ever had a rutgers. she was consistently unclear with her expectations of us and when asked a question would go on a 10 minute condescending lecture about why we need to be responsible for ourselves. I had an A the entire course until randomly at the end she f"
"John Maerhofer","English",3.5,3.9,65.2174,24,"2021FA|302|303|ENG101|EXPOS101|WRITINGFORBUS30","Q:3/D:5/G:Not sure yet — He is very strict about everything, he will help you become a better writer but it is very hard","Q:3/D:3/G:A+ — RID is already a heavy workload class, so you have to stay on top of readings and complete the rough drafts on time so you don't fall behind. Primarilywork is done in class with groups & discussion posts, so attendance & participation are important. His critiques are strong, but they're helpful.","Q:4/D:5/G:B+ — Not your friend, but you will learn to write and use research. Attend class and go to office hours. He will do his best to get you on track for the coursework."
"Sundar Raman","Supply Chain Management",3.1,2.9,53.8462,13,"IDK1|PM380","Q:1/D:5/G:N/A — do NOT take this professor. he isn't understanding and gives quizzes every single class. his class is boring and gives a lot of work. dont take him","Q:4/D:2/G:A — Exams are only 25% of the grade. Unfortunately the professor is not very tech savvy and many students violated academic integrity continuously, but not me. Lectures are super boring, but he is an alright teacher and cares about the content.","Q:3/D:1/G:B — The lectures are kinda boring but they're not mandatory and all the content is available on canvas. the slides are easy to understand and go through. Generally not a hard course, it's not a free A but it's not like a 'what if i fail' class either."
"Saman Ebrahimi","Management Science & Information Systems",1.7,4.1,20,10,"MIS|MIS370","Q:4/D:3/G:A — Great personality and thoroughly walks through every topic, but is often late in grading exams","Q:1/D:4/G:Not sure yet — In the first class right now, can't understand a single thing","Q:3/D:2/G:B+ — Explains Excel, SQL, and Tableau clearly and does hands-on work in every lecture while showing each step. Attendance is usually taken through a Canvas question at the end of class about what was covered in the lecture, so being present helps. He grades slowly, so you may not know your grade until th"
"Michael Whiting","Business",2.2,3.7,33.3333,6,"SCM301|SCM305","Q:4/D:3/G:A — I'm not sure why his rating is so low, but he is a good professor, and he cares about his students. His classes are super late, which makes it somewhat hard to want to go. He doesn't take attendance. Overall, I would recommend him!","Q:3/D:3/G:B+ — 1 group project, 2 exams, a bunch of discussion posts. not a bad prof, but his lectures are VERY boring. barely anybody would show up since attendance was not mandatory. exams were on canvas, but in person & open notes. exams were moderate. some questions were worded weird. he does curve. overall pr","Q:1/D:3/G:B+ — Professor Whiting is one of the worst professors I've ever had. His lectures were terribly boring and slides were completely unorganized. Very hard to reach. This professor will gaslight you. He would say things in class or over email that when asked would say, &quot;I never said that.&quot; Not so "
"Thomas Brown","Art History",4.8,1.7,100,6,"01082106","Q:5/D:1/G:A — I had Prof Brown for Art History 215, and he has been my favorite professor I have taken at Rutgers. He mainly focuses on lectures and posts them usually before class. We had two writing assignments and two written exams, but they are pretty straightforward. He is always willing to help before/after","Q:5/D:2/G:A — VERY generous/understanding professor. As long as you reach out to him, he allows extensions on assignments. 4 essays, 1 midterm, 1 final. All super fair - just pay attention to lectures (PPs uploaded on canvas). Textbook helpful but not absolutely necessary. Attendance not mandatory but surprise/ea","Q:5/D:1/G:A — Exams are in-person and you'll have to write. Feedback on papers will let you know what he is looking for. Don't have to show up to lecture save for some short, collected writing exercises that will count towards a participation grade and powerpoints are uploaded to the canvas page, it's an easy and"
"Anna Lee","Education",2.4,3,100,4,"EDPSY306|EDU300","Q:5/D:2/G:B+ — As long as you show up and do the little HW given you'll do good.","Q:1/D:4/G:N/A — You literally cannot understand a word she says. If you ask a question, she stares blankly, says 'good question' and moves on. It is impossible to pay attention because you can't be totally sure of what she's talking about. AVOID AT ALL COSTS","Q:2/D:3/G:N/A — Try not to take Ed Psych with Professor Lee. While she is a very nice lady, she does not speak or read English at an acceptable collegiate level. As a result, her test directions are frequently unclear and her handouts and assignments are almost always grammatically incorrect. I'm sure she would be "
"John Italia","Economics",4.9,2.1,100,93,"11373121|121|373121|373121ECON|APPECON|BUSINESS|ECO121|ECON101|ECON102|ECON122|ECON220|ECON374|ECONOMICS|MANAGECON|MICRO|MICRO02|MICRO101|MICRO121|MICRO373|MICROAGRIBUS|MICROECNOMICS|MICROECON|MICROECONOMICS|MICROSECT|MIRCO|MNGMNT|PRINAPPMICRO121|SPORT121","Q:5/D:2/G:Not sure yet — One of the absolute best professors out there. Flexible, direct lectures, super clear grading criteria, asks when the STUDENTS want exams, etc. The class itself is not too hard as long as your study. Curves every single quiz and exam, and genuinely wants to see you do amazing. Always answers questio","Q:5/D:1/G:A+ — Professor Italia is one of the best professors out there. He is always willing to answer questions mid lecture and he is very direct in terms of what is asked. Before the lectures, review the content from the textbook he recommends. Not a single quiz or exam below 90 if you really give a lot of effo","Q:5/D:2/G:A- — Best prof of all time hands down. Every review here does not fully express how good this guy is. Please take him"
"Lew Hirsch","Mathematics",2.4,4.2,26.3889,81,"112|115|CALC135|MATH115|PRECAC2|PRECALC112|PRECALC115","Q:2/D:3/G:Not sure yet — Professor Hirsch is definitely big on tests and gives a lot of homework. However, if you put in the work and remember all the mathematical rules/patterns you learn in class, you should be solid.","Q:1/D:5/G:Not sure yet — run please run i beg u","Q:1/D:5/G:Rather not say — Every day when I open my eyes, I sigh, wishing I didn't. He made me wish death on myself. Sometimes when I'm crossing the street, I stop in the middle and stop looking both ways so the bus can run me over. Everybody is wrong, and he's the only one right. Run before you can't run. Drop it now before "
"Lily Chang","Computer Science",2.9,3.2,48,75,"CS111|CS112|CS213|CS431","Q:4/D:2/G:Not sure yet — For Intro to Computer Science aka CS111, Professor Chang does a very good job of explaining concepts in lecture. She is also very available after class and will help you go through your coding assignments if you hit a snag or bug. Overall one of my favorite teachers at Rutgers so far.","Q:1/D:3/G:Not sure yet — Can't understand a single word she says, unorganized and unclear about almost everything. Pointless.","Q:3/D:4/G:B+ — She was honestly a decent teacher, but did speed through concepts quite a bit. The workload for this class is very heavy, and can be a nightmare if you don't have a good project partner. The only unfair part is the exams, which are worth too much considering how long the projects take and contain a "
"Cecilia Arias","Mathematics",4.7,2,97.561,43,"135RECITATION|CALC135|MAT026|MAT103|MATH103|MATH104|MATH106|MATH107|MATH110|MATH112","Q:5/D:3/G:A — my first ever rmp review because Professor Arias deserves all the accolades. she is SO caring, kind, and helpful. she explains as many times as you need to understand. I am NOT a math person and I got an A in the class thanks to her. humanities people, take her class for your math requriment, i prom","Q:5/D:1/G:Not sure yet — Take her and her class!! Although attendance isn't mandatory, there are in-class assignments that will affect your grade if you miss too many classes. She is very sweet, understanding, and passionate. Lots of assignments to fluff up your grade if you do not do well on the final or midterm","Q:5/D:1/G:Rather not say — Her class is very interesting which she calls a ''flipped classroom''. Basically you do assignments and quizzes in class, but you learn new materials remotely through recorded lectures. This gave me the opportunity to do well in maths since i can follow every lecture at my own pace, and helps me to "
"Bailey Eaise","Political Science",4.5,1.9,87.8049,41,"NATUREOFPOL101|NATUREOFPOLI101|POL101|POL365|POL371|POL376|POL377","Q:5/D:2/G:A — Professor Eaise is amazing, make sure to take her if you can! She is an awesome lecturer who keeps your attention throughout the entire 3-hour class. I felt like I learned a lot, even though this was not originally a topic I really wanted to take. Exams are based on lectures/slides, not a lot of hom","Q:5/D:2/G:A — This class was easier than expected for me. I really liked Professor Eaise and her teaching style. You pretty much have to show up to all the lectures because she doesn't post the slides afterwards and the tests are open note and ask specific questions from lecture so you want to get as much info do","Q:3/D:4/G:B — Good class. Goes thru the slides at a very fast pace. Against technology so be prepared to have a notebook and pen. Exams are open note but difficult. Attendance isn't mandatory but if you miss even one class goodluck catching up. Overall good class tho"
"Alex Buzick","Writing",4.7,3.4,93.9394,34,"ENG302|EXPO101|EXPOS101|EXPOS103","Q:5/D:3/G:N/A — he is a great prof and really cares about his students and their success. at times it can seem like a lot of work in comparison to other classes but due dates are reasonable and he is open to extensions. you can tell he loves his job and wants the best for his students","Q:5/D:2/G:Not sure yet — He is actually very caring, there is a semester long project but he will be there to help you through it all, lots of discussions each class but its to help you for the project.","Q:5/D:4/G:B — He is a tough grader, and his 01:355:303 class was difficult. However, if you're feeling as if all your homeworks/assignments/projects are pointless submissions, TAKE THIS CLASS. You can feel your work is being valued, and me being in a tough position of hating university, this class inspired me. Al"
"Dario Pompili","Engineering",1.3,3.6,0,24,"DSPARCH|ECE31|ECE312|ECE331|ECE421","Q:1/D:5/G:B- — Class was a mix of undergrad and post-grad students with no discernible differences in grading criteria. A lot of time is dedicated to doing a group project based on the professors research material, which is loosely tied to the course material. I would not recommend anyone take the class to get a b","Q:1/D:2/G:B+ — Often unprepared for lectures, and the class structure in its entirety was poor. All of the material would be read off slides, with most of the material learned not even being on the exams. The midterm exam and the final were both online which resulted in a higher average grade. This caused the clas","Q:1/D:3/G:C+ — This class is a waste of time because of the professor. Grading is just ridiculous avoid any class taught by him."
"Alberto Cuitino","Engineering",3.3,3,66.6667,23,"14440221|291|440221|ENG221|ENG227|MECH211|MECH221|MECHE291|SEVERAL|STAT221|STATC101|STATICS","Q:4/D:4/G:B — PLEASE CONSIDER IMPLEMENTING FLIPPED CLASSROOM LEARNING","Q:1/D:3/G:B — I attended to every lecture and I actually never met him. The class is easy if you practice a lot from the homework and from the textbook. They have a policy that if you do bad on the first midterm and do good on the second one, they will curve your first midterm. The final is not hard and there's a","Q:4/D:3/G:A — The statics professors go over easy problems in lecture. It's on you to do practice harder problems. Exams are more complex than the homework problems. Do the extra practice problems and go to recitation."
"Lei Song","Geography",2.2,4.1,36.3636,21,"320|ES101","Q:4/D:1/G:A+ — Although she is a fair bit lecture and test heavy due to the nature of Earth Systems, Professor Song is still a very good teacher in my opinion, and passing the class is relatively straightforward with plenty of extra credit for participation. Being allowed cheat sheets on the exams should indicate ","Q:1/D:4/G:B — There are definitely people inflating the rating here. She does not deserve a 2.3-star rating, which is what she has at the time of writing this review. Doesn't speak English very well, and her tests are extremely hard even with a cheat sheet. Seems like a nice lady, but the class is very difficult ","Q:4/D:3/G:A+ — very nice and understanding, adapted to complaints, thick accent but had a way of explaining things pretty well, literally just read and listen to lectures and you will do well on the entirely multiple choice exams."
"Charles Haberl","Arabic",4.6,1.8,100,17,"AMESALL|AMESALL305|HON296|KORANARAB|LANGINPERIL305|MDEST306|MES260|MES306|MULTIDEN","Q:5/D:1/G:A — Probably one of the best professors I ever took, took his Bible in Aramaic, Magic, Religion, and Science course, and intro to Aramaic course. Extremely knowledgeable and very forgiving. Made every lecture interesting even though attendance wasnt mandatory I had always wanted to go just because of ho","Q:5/D:1/G:A+ — Definitely recommend taking Endangered Languages (1-credit half semester course). Dr. Haberl picks very interesting readings that don't take long to read, and are pretty digestible. Since it's a short course we didn't even get work every week and had plenty of time to complete it. Honestly the easie","Q:5/D:1/G:A+ — Took Endangered languages (01:991:111), which is a 1-credit version of Languages in Peril. Super easy and fun course. Every two weeks we get a few quick readings and then a 100-200 word discussion post. I don't generally enjoy writing, but his questions and readings were always interesting and made "
"Steve Buyske","Statistics",4.9,2.8,100,16,"DESIG590|DESIGNOFEXPER|DOE01|STAT295|STAT365|STAT401|STAT590|STAT591|STAT597|STATS365|STATS590","Q:5/D:2/G:A — This was one of the best classes I have taken in the Stat department. Buyske is an amazing professor, and we would have weekly assignments in R that would take up max 3 hours a week. Usually, you can get it done in an hour if you really grind. The weekly stuff makes up like 80% of ur grade and there","Q:5/D:3/G:N/A — He's amazing. Explains as best that we can but the material can be tricky. Assignments weren't too bad and weekly quizzes were pretty manageable. He's super passionate about what he's teaching a really jolly professor. He eases you into R Programming. Hope to have him again.","Q:5/D:3/G:A — Buyske is sweet &amp; charismatic. Made a tough topic very tangible and accessible to students at any level. The asynchronous class was run really smoothly. Not too much work either. Weekly quizzes and videos, some small R assignments. He teaches everything you need to know. I'd say its an easy B. A"
"Ann Bagchi","Supply Chain Management",2.8,3.3,43.75,16,"PROJECTMGT799","Q:5/D:2/G:B+ — Only used 60% of my brain for this class and managed to nab a B+. Attendance is mandatory and you must raise your hand at least once a class to receive a full participation grade. Not as hard as many of the others are making it out to be just make sure to pay attention when she's explaining the assi","Q:5/D:2/G:A+ — Show up and participate, and you will get an A. No final, no midterm, one presentation, and a couple of homework assignments. The class is overall very easy.","Q:1/D:5/G:Incomplete — She is one of the toughest graders I have ever seen at Rutgers, with no flexibility. She will take off points so easily, and it's hard to communicate and explain your problems to her. Avoid this professor, and if you don't, you have to be super patient!"
"Matthew Matsaganis","Communication",2.7,3.1,28.5714,14,"COM101|COM408|COMM408","Q:5/D:1/G:A — Great online Zoom class that is easy to attend and stay engaged in. Three tests are straightforward if you keep up with the material. Workload is reasonable, and small group activities help with understanding concepts. The only downside is that the TA takes a long time to grade assignments, which de","Q:2/D:4/G:Not sure yet — Please AVOID this class at all costs! He is bad at teaching. I don't even think he knows what he's talking about half the time. I feel like I'm falling asleep every time I go to class. His assignments are so specific (which can be helpful) but they're also confusing. His graders are really tough. SO","Q:3/D:3/G:A+ — A really nice professor, but my god, his lectures were impossible to follow. Also has an obsession with group projects that have very confusing criteria and descriptions. A great guy, but he needs MAJOR improvement in his teaching structure."
"Raymond Trigg","Criminal Justice",4.9,1.7,100,13,"CJ202|CRIM202|CRIM496|POL202|POLICE03|POLICE202","Q:5/D:2/G:A — He's a great professor; it's evident he truly cares about education and his students. He's very active in class, and keeps the classroom energetic, so forget about boring lectures. Also, I recommend showing up to class! He rewards those who do - it's worth it. Very inspirational, just a great profes","Q:5/D:2/G:B- — He always seems to be in a cheery mood, and doesn't let the vibe of the room ever settle down, moving swiftly onto the next thing to do when the class got quiet. Overall a joy to be in presence with, and a professor one could take again without any problem.","Q:5/D:3/G:N/A — Professor Trigg is an amazing professor. He makes students laugh and become interested in the subjects hes teaching. Definitely go to his lectures bcs hell make up special extra credit questions and only those who go to class will get the answers."
"Eileen Heffernan-Swingle","Nursing",4.8,2.4,100,12,"NURS255|NUT5255|NUTRITION255","Q:5/D:1/G:A+ — Extremely easy class; she only held in-person class twice (only 1.5 hours). Aside from the final exam, all the tests were online, and all the answers came directly from the module she posted. The weekly assignments were straightforward and never interfered with A+P. If you're a freshman, move this u","Q:5/D:1/G:A+ — She is so nice bless her. Such a manageable class and I was rlly interested in the material as well. Really great class to be in esp w her.","Q:5/D:1/G:A+ — She was probably the kindest, most considerate professor I've ever had. She truly cares about your success and will help you in any way you need. Very passionate about nutrition. You're only graded on 4 exams, easy weekly participation assignments, and a final project, which is easy but takes time t"
"Giuseppe Rotolo","Philosophy",2.3,2.9,33.3333,12,"730-103|730-218","Q:5/D:3/G:A — Took for minds&machines. Pretty fair guy. As long as you put in some effort, you'll pass. Attendance is required but the class can be interesting at times which made up for it. Better than most other courses I took for CS.","Q:2/D:3/G:B+ — lowkey chill guy, but bad teacher. lectures r so boring, but u have to go as theres no syllabus or textbook or slides! would never recommend this class as he sucks as a teacher.","Q:1/D:4/G:C — Guy is allergic to answering emails. I probably wrote out to him more than 10 times this semester and he just does not respond. DO NOT TAKE."
"Steve Decker","Meteorology",4.5,2.5,100,8,"BYRNE101|MET211|MET433","Q:5/D:3/G:B+ — I took met211 last semester but I truly enjoyed the class. His lectures are great and he is knowledgeable beyond compare in the field of meteorology. He is always willing to make sure you succeed in the class.","Q:5/D:2/G:A — Professor Decker is the GOAT! He explains things really well and thoroughly. As long as you pay attention in class, you will do well. Decker knows so much about meteorology and he's always willing to help if you have questions or need some advice. Just know that he is quite the stickler with grading","Q:5/D:2/G:A — He is a great professor if you are looking to study meteorology. I've had him for the past two semesters, and he is awesome. He is very knowledgeable and is great at explaining things. Very accessible outside the class. Take him!"
"Enrique Curchitser","Meteorology",1.7,4.3,14.2857,6,"MET212","Q:3/D:5/G:C+ — Enrique is a good professor in a sense that he wants you to succeed as well as he will go the extra mile to make sure you understand, but beware that if you have no coding experience, this course will feel like a bull trying to buck you off at all times. This class is very unforgiving and the notebo","Q:3/D:3/G:A — Enrique isn't a bad professor. Definitely not 1.4/5 bad. The class is a little difficult, especially if you have no coding experience, but he always tries to help you understand, and his lectures aren't too hard to follow. He's also accessible outside of class. Some of the homeworks might take a cou","Q:3/D:4/G:B+ — I was frightened when I originally saw the 1/5 rating. Enrique isn't perfect, but I don't think he deserves a 1 rating. His lectures were sometimes confusing, but I found his feedback helpful for assignments. Midterm wasn't too bad. Thursdays are also reserved for independent work which is really ni"
"Frank Giarratano","Business",4.5,2.5,100,4,"BRNDMNG498|MKTGMAN|MRKT586|STCM381","Q:5/D:3/G:A+ — Great professor. Good participation policy however the course is mostly group work.","Q:5/D:2/G:Not sure yet — Had him at Montclair, great professor who was easy going and informative. The lectures went by quick and he kept everyone engaged. Would defitnely take him again if I could. Not a lot of work either two tests and a semester long group project. If u you can, definitely take him","Q:4/D:2/G:N/A — He's good. The professor is always an email away for anything, the questions outside the textbook are open-ended while answering, and he allows getting to know others with projects. As long as you pace the work, you'll do well."
